日期,一级分类,二级分类,金额,成员,备注,是否共同开销,月份
2026/05/01,餐饮,三餐,30.00,ljy,九寨沟县尊品正耀餐饮,否,05
2026/05/02,居家,话费,50.00,ljy,中国移动,否,05
2026/05/02,交通,打车,14.52,ljy,滴滴快车-王师傅,否,05
2026/05/02,购物,日用品,22.31,ljy,成都全家便利店,否,05
2026/05/02,交通,地铁,2.00,ljy,成都地铁(东郊记忆),否,05
2026/05/03,交通,打车,149.20,ljy,滴滴轻享打车,否,05
2026/05/03,文化,文创,128.00,ljy,四川广汉三星堆博物馆-文创店,否,05
2026/05/03,交通,打车,17.60,ljy,滴滴快车-刘师傅,否,05
2026/05/03,交通,打车,104.80,ljy,特惠快车-龙师傅,否,05
2026/05/03,宠物,保险,34.75,ljy,宠物医保-**宇,否,05
2026/05/03,文化,娱乐,20.00,ljy,成都锐理文化传播有限公司,否,05
2026/05/03,文化,娱乐,109.00,ljy,成都锐理文化传播有限公司,否,05
2026/05/03,居家,话费,100.00,ljy,手机充值,否,05
2026/05/03,交通,地铁,4.00,ljy,成都地铁(芳草街),否,05
2026/05/03,购物,日用品,11.30,ljy,老邻居连锁,否,05
2026/05/04,餐饮,三餐,32.60,ljy,乐山市市中区钟鼎之家餐饮店,否,05
2026/05/04,交通,打车,27.30,ljy,滴滴快车-李师傅,否,05
2026/05/04,交通,打车,15.50,ljy,滴滴快车-张师傅,否,05
2026/05/04,购物,日用品,5.69,ljy,四川省老邻居商贸连锁,否,05
2026/05/05,交通,打车,13.56,ljy,滴滴快车-贾师傅,否,05
2026/05/05,医疗,保险,174.86,ljy,2026.5月保费缴清-好医保·长期医疗,否,05
2026/05/05,交通,地铁,4.00,ljy,地铁_北京西站,否,05
2026/05/05,交通,打车,17.06,ljy,滴滴快车-龚师傅,否,05
2026/05/06,餐饮,三餐,15.00,ljy,北京超意兴餐饮文化有限公司,否,05
2026/05/06,餐饮,三餐,22.00,ljy,北京北沙滩晋面王,否,05
2026/05/07,文化,会员订阅,498.00,ljy,App Store & Apple Music（自动扣款）,否,05
2026/05/07,文化,会员订阅,398.00,ljy,App Store & Apple Music（自动扣款）,否,05
2026/05/07,居家,水费,60.00,ljy,水费自动缴费-我家,否,05
2026/05/07,餐饮,三餐,18.00,ljy,北京超意兴餐饮文化有限公司,否,05
2026/05/08,餐饮,三餐,16.50,ljy,北京超意兴餐饮文化有限公司,否,05
2026/05/09,餐饮,三餐,17.00,ljy,北京超意兴餐饮文化有限公司,否,05
2026/05/09,购物,日用品,2.80,ljy,便利蜂（量子银座店）,否,05
2026/05/10,餐饮,食材,136.60,ljy,盒马,否,05
2026/05/11,餐饮,三餐,15.00,ljy,北京超意兴餐饮文化有限公司,否,05
2026/05/12,交通,地铁,3.00,ljy,地铁_北沙滩,否,05
2026/05/12,文化,婚庆,11.36,ljy,请帖结婚邀请函（已全额退款）,否,05
2026/05/12,文化,婚庆,5.56,ljy,请帖结婚邀请函（已全额退款）,否,05
2026/05/12,餐饮,三餐,18.00,ljy,北京超意兴餐饮文化有限公司,否,05
2026/05/12,购物,日用品,4.68,ljy,果美生鲜大屯路店,否,05
2026/05/13,交通,地铁,3.00,ljy,地铁_北沙滩,否,05
2026/05/13,餐饮,三餐,18.00,ljy,北京超意兴餐饮文化有限公司,否,05
2026/05/13,文化,会员订阅,10.00,ljy,高档充电连续包月八,否,05
2026/05/13,交通,地铁,3.00,ljy,地铁_清华东路西口,否,05
2026/05/14,购物,日用品,5.73,ljy,福庆生活超市,否,05
2026/05/14,交通,地铁,3.00,ljy,地铁_北沙滩,否,05
2026/05/14,餐饮,饮品,72.80,ljy,盒马 云雾芭乐气泡果汁饮料330ml,否,05
2026/05/14,购物,日用品,344.00,ljy,盒马 婴儿手口湿巾80片*6等多件,否,05
2026/05/14,餐饮,三餐,14.00,ljy,北京超意兴餐饮文化有限公司,否,05
