日期,一级分类,二级分类,金额,成员,备注,是否共同开销,月份
2026/06/01,居家,话费,100.00,ljy,手机充值,否,06
2026/06/01,购物,服饰,392.05,ljy,婚宴喜妈妈礼服旗袍2026新款（已全额退款）,否,06
2026/06/01,购物,服饰,492.00,ljy,高贵年轻喜婆婆婚宴装2026新款（已全额退款）,否,06
2026/06/01,购物,服饰,425.00,ljy,蕾蒂若《柒婳》婚宴喜妈妈礼服（已全额退款）,否,06
2026/06/01,宠物,宠物医疗,598.00,ljy,北京安欣,否,06
2026/06/02,医疗,药品,21.00,ljy,金因舒人表皮生长因子(ARI加长型),否,06
2026/06/02,餐饮,三餐,17.00,ljy,北京超意兴餐饮文化有限公司,否,06
2026/06/02,购物,日用品,19.90,ljy,商户单号XP22260602231011880401,否,06
2026/06/03,居家,话费,50.00,ljy,手机充值,否,06
2026/06/03,餐饮,三餐,18.00,ljy,北京超意兴餐饮文化有限公司,否,06
2026/06/03,居家,话费,100.00,ljy,手机充值,否,06
2026/06/03,购物,日用品,69.00,ljy,【晁然直播间】舒适达多效护理抗敏牙膏,否,06
2026/06/04,宠物,宠物医疗,34.75,ljy,2026.6月保费缴清-宠物医保-**宇,否,06
2026/06/04,餐饮,三餐,14.00,ljy,北京超意兴餐饮文化有限公司,否,06
2026/06/04,餐饮,三餐,28.00,ljy,乐享牛拉(学清路店),否,06
2026/06/05,交通,公交地铁,5.00,ljy,地铁_西小口,否,06
2026/06/05,医疗,保险,174.86,ljy,2026.6月保费缴清-好医保·长期医疗,否,06
2026/06/05,餐饮,三餐,15.00,ljy,北京超意兴餐饮文化有限公司,否,06
2026/06/05,交通,公交地铁,3.00,ljy,地铁_西土城,否,06
2026/06/06,交通,高速费,2.00,ljy,高速被扫支付-鲁N220XV,否,06
2026/06/06,交通,停车费,12.00,ljy,北京泊车邦停车管理产业有限公司,否,06
2026/06/07,购物,日用品,176.60,ljy,000010000000049消费订单,否,06
2026/06/07,交通,高速费,14.00,ljy,廊坊香河北收费站,否,06
2026/06/07,交通,高速费,14.00,ljy,高速被扫支付-鲁N220XV,否,06
2026/06/07,交通,高速费,1.00,ljy,高速被扫支付-鲁N220XV,否,06
2026/06/07,购物,服饰,149.00,ljy,优衣库北京清河路五彩城,否,06
2026/06/08,餐饮,三餐,18.00,ljy,北京超意兴餐饮文化有限公司,否,06
2026/06/08,宠物,宠物医疗,230.00,ljy,北京安欣,否,06
2026/06/08,文化,婚庆,347.00,ljy,小熊的婚礼 原创婚庆款60支全棉（已退款¥170.00）,否,06
2026/06/08,文化,婚庆,51.12,ljy,礼炮结婚手持礼花羽毛礼筒炮,否,06
2026/06/09,餐饮,三餐,11.00,ljy,北京超意兴餐饮文化有限公司,否,06
2026/06/09,购物,日用品,469.00,ljy,亚朵星球夏季深睡被Pro3夏被,否,06
2026/06/09,文化,婚庆,317.00,ljy,小熊的婚礼 原创婚庆款60支全棉（已全额退款）,否,06
2026/06/10,文化,婚庆,117.00,ljy,敬茶杯套装结婚用品大全茶具,否,06
2026/06/10,餐饮,三餐,17.00,ljy,北京超意兴餐饮文化有限公司,否,06
2026/06/10,文化,婚庆,26.90,ljy,骆易家结婚礼金簿婚礼签到收礼,否,06
2026/06/11,餐饮,三餐,13.00,ljy,北京超意兴餐饮文化有限公司,否,06
2026/06/12,餐饮,三餐,14.00,ljy,北京超意兴餐饮文化有限公司,否,06
2026/06/13,购物,数字产品,10.00,ljy,高档充电连续包月八（自动扣款）,否,06
2026/06/13,交通,油钱,1.00,ljy,壳牌加油站(小营站)-高德地图,否,06
2026/06/13,交通,油钱,123.01,ljy,壳牌加油站(小营站)-高德地图,否,06
2026/06/13,交通,高速费,5.00,ljy,高速被扫支付-鲁N220XV,否,06
2026/06/13,交通,停车费,3.00,ljy,鲁N220XV停车缴费,否,06
2026/06/13,交通,高速费,37.00,ljy,廊坊香河北收费站,否,06
2026/06/13,娱乐,旅游,7000.00,ljy,Armitage Hotel(5101-李建宇)（已退款¥1112.00）,否,06
2026/06/13,社交,餐饮,3000.00,ljy,荷悦江南宴（疑婚宴，待确认）,否,06
2026/06/14,文化,婚庆,13248.51,ljy,扫收钱码付款-给天道酬勤（疑婚宴酒店，待确认）,否,06
2026/06/14,娱乐,旅游,800.00,ljy,Armitage Hotel(5101-李建宇),否,06
2026/06/14,交通,高速费,9.00,ljy,高速被扫支付-鲁N220XV,否,06
2026/06/14,交通,高速费,1.00,ljy,高速被扫支付-鲁N220XV,否,06
2026/06/14,餐饮,三餐,306.00,ljy,美团,否,06
2026/06/14,餐饮,三餐,89.00,ljy,美团,否,06
2026/06/14,餐饮,三餐,41.50,ljy,北京真牛餐饮有限公司,否,06
2026/06/14,交通,高速费,2.00,ljy,高速被扫支付-鲁N220XV,否,06
