日期,一级分类,二级分类,金额,成员,备注,是否共同开销,月份
2026/04/25,宠物,宠物用品,600.00,ljy,69号猫舍（双井店）,否,04
2026/04/29,餐饮,零食,3.00,ljy,中铁快运北京分公司（售货柜）,否,04
2026/04/30,娱乐,旅游,29.00,ljy,松潘方寸之外,否,04
2026/05/03,其他,其他,68.00,ljy,扫二维码付款-给CHE（用途待确认）,否,05
2026/05/04,餐饮,三餐,184.00,ljy,老黄记手撕烤兔总店,否,05
2026/05/04,其他,其他,10.00,ljy,扫二维码付款-给楠楠（用途待确认）,否,05
2026/05/08,其他,其他,1000.00,ljy,转账-转给李建峰 莱圳（用途待确认）,否,05
2026/05/11,餐饮,零食,6.69,ljy,丰e足食-智慧零售WH,否,05
2026/05/14,餐饮,三餐,12.90,ljy,麦当劳,否,05
2026/05/15,娱乐,健身,45.00,ljy,趣运动门店（已退款¥6.20）,否,05
2026/05/15,其他,其他,100.00,ljy,转账-转给我 天（用途待确认）,否,05
2026/05/16,其他,其他,56.00,ljy,货拉拉,否,05
2026/05/16,其他,其他,179.00,ljy,货拉拉,否,05
2026/05/17,其他,其他,398.00,ljy,蓝犀牛（搬家）,否,05
2026/05/17,其他,其他,100.00,ljy,扫二维码付款-给张家大千（用途待确认）,否,05
2026/05/18,娱乐,健身,9.00,ljy,扫二维码付款-给泰山羽毛球馆,否,05
2026/05/18,其他,其他,91.00,ljy,转账-转给卢东 莱圳（用途待确认）,否,05
2026/05/20,餐饮,零食,1.99,ljy,丰e足食-智慧零售WH,否,05
2026/05/22,交通,电动车充电,0.66,ljy,小绿人充电,否,05
2026/05/23,购物,服饰,249.00,ljy,扫二维码付款-给杰哥男装,否,05
2026/05/23,购物,服饰,20.00,ljy,扫二维码付款-给红星裁缝（改衣服）,否,05
2026/05/23,其他,其他,350.00,ljy,转账-转给我 天（用途待确认）,否,05
2026/05/24,娱乐,健身,57.00,ljy,爱动科技（羽林决）,否,05
2026/05/25,餐饮,零食,1.99,ljy,丰e足食-智慧零售WH,否,05
2026/05/26,其他,其他,150.00,ljy,转账-转给吴伟（用途待确认）,否,05
2026/05/27,餐饮,零食,5.89,ljy,丰e足食-智慧零售WH,否,05
2026/05/27,其他,其他,1000.00,ljy,转账-转给吕燕（用途待确认）,否,05
2026/05/28,交通,电动车充电,0.61,ljy,小绿人充电,否,05
2026/05/28,餐饮,零食,1.99,ljy,丰e足食-智慧零售WH,否,05
2026/05/31,其他,其他,5.00,ljy,京东快递,否,05
2026/05/31,其他,其他,0.30,ljy,京东快递,否,05
2026/06/01,文化,婚庆,5800.00,ljy,转账-转给东华婚礼莎莎,否,06
2026/06/01,其他,其他,16.00,ljy,扫二维码付款（用途待确认）,否,06
2026/06/01,其他,其他,9.90,ljy,京东快递,否,06
2026/06/02,餐饮,零食,1.99,ljy,丰e足食-智慧零售WH,否,06
2026/06/03,交通,电动车充电,0.66,ljy,小绿人充电,否,06
2026/06/03,餐饮,零食,5.68,ljy,丰e足食-智慧零售WH,否,06
2026/06/04,餐饮,零食,1.99,ljy,丰e足食-智慧零售WH,否,06
2026/06/04,其他,其他,800.00,ljy,转账-转给李昊生（对方已退还）,否,06
2026/06/05,餐饮,零食,3.98,ljy,丰e足食-智慧零售WH,否,06
2026/06/05,餐饮,三餐,4.00,ljy,烤炉灌饼煎饼,否,06
2026/06/06,交通,停车费,52.00,ljy,北京泊车邦停车管理,否,06
2026/06/06,其他,其他,880.00,ljy,转账-转给库克|Filmaker（疑婚礼摄影，待确认）,否,06
2026/06/06,餐饮,三餐,32.00,ljy,美团,否,06
2026/06/07,餐饮,三餐,12.00,ljy,杭州小笼包,否,06
2026/06/07,其他,其他,5.00,ljy,万物云（万科物业）,否,06
2026/06/07,餐饮,饮品,940.00,ljy,转账-转给王栋名酒批发（酒类，待确认）,否,06
2026/06/07,文化,婚庆,13000.00,ljy,扫二维码付款-给海昌假日（疑婚宴酒店，待确认）,否,06
2026/06/07,交通,电动车充电,5.00,ljy,小绿人充电,否,06
2026/06/08,餐饮,零食,3.99,ljy,丰e足食-智慧零售WH,否,06
2026/06/10,餐饮,零食,9.98,ljy,丰e足食-智慧零售WH,否,06
